title,author,release_year,pages,isbn,reader
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,223,9781234567890,
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,223,9781234567891,
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,223,9781234567892,
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,223,9781234567893,
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,223,9781234567894,
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,223,9781234567895,
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,223,9781234567896,
To Kill a Mockingbird,Harper Lee,1960,281,9781234567897,
To Kill a Mockingbird,Harper Lee,1960,281,9781234567898,
To Kill a Mockingbird,Harper Lee,1960,281,9781234567899,
The Great Gatsby,F. Scott Fitzgerald,1925,180,9781234567800,13245.0
The Great Gatsby,F. Scott Fitzgerald,1925,180,9781234567801,13245.0
The Great Gatsby,F. Scott Fitzgerald,1925,180,9781234567802,
The Great Gatsby,F. Scott Fitzgerald,1925,180,9781234567803,13245.0
The Great Gatsby,F. Scott Fitzgerald,1925,180,9781234567804,
1984,George Orwell,1949,328,9781234567805,
1984,George Orwell,1949,328,9781234567806,
Pride and Prejudice,Jane Austen,1813,279,9781234567807,
Pride and Prejudice,Jane Austen,1813,279,9781234567808,
Pride and Prejudice,Jane Austen,1813,279,9781234567809,
Pride and Prejudice,Jane Austen,1813,279,9781234567810,
The Name of the Wind,Patrick Rothfuss,2007,662,9781234567811,
The Hobbit,J.R.R. Tolkien,1937,310,9781234567812,
The Hobbit,J.R.R. Tolkien,1937,310,9781234567813,
The Catcher in the Rye,J.D. Salinger,1951,214,9781234567814,
The Catcher in the Rye,J.D. Salinger,1951,214,9781234567815,
Moby Dick,Herman Melville,1851,635,9781234567816,
Moby Dick,Herman Melville,1851,635,9781234567817,
War and Peace,Leo Tolstoy,1869,1225,9781234567818,
War and Peace,Leo Tolstoy,1869,1225,9781234567819,
The Alchemist,Paulo Coelho,1988,208,9781234567820,
The Alchemist,Paulo Coelho,1988,208,9781234567821,
